"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3195545","Mohd Hafeez Osman and Mohd Firdaus Zaharin","","","","Ambiguous Software Requirement Specification Detection: An Automated Approach","33--40","","8","machine learning, requirement engineering, software engineering, text mining","10.1145/3195538.3195545","","","","","","","2018","","Proceedings of the 5th International Workshop on Requirements Engineering and Testing","RET '18","","978-1-4503-5749-4","Gothenburg, Sweden","ACM","New York, NY, USA"
"article","3339744","Gouri  Deshpande","","","","SReYantra: Automated Software Requirement Inter-dependencies Elicitation, Analysis and Learning","186--187","","2","NLP, machine learning, requirements engineering, requirements inter-dependency management","10.1109/ICSE-Companion.2019.00076","","","","","","","2019","","Proceedings of the 41st International Conference on Software Engineering: Companion Proceedings","ICSE '19","","","Montreal, Quebec, Canada","IEEE Press","Piscataway, NJ, USA"
"article","2721979","Kristian  Beckers and Stephan  Fa&#223;bender and Maritta  Heisel and Santiago  Suppan","","","","A Meta-pattern and Pattern Form for Context-patterns","5:1--5:23","5","23","context establishment, domain knowledge, requirements engineering","10.1145/2721956.2721979","","","","","","","2014","","Proceedings of the 19th European Conference on Pattern Languages of Programs","EuroPLoP '14","","978-1-4503-3416-7","Irsee, Germany","ACM","New York, NY, USA"
"article","2721963","Azadeh  Alebrahim and Maritta  Heisel","","","","Problem-oriented Security Patterns for Requirements Engineering","9:1--9:17","9","17","problem frames, requirements engineering, security patterns","10.1145/2721956.2721963","","","","","","","2014","","Proceedings of the 19th European Conference on Pattern Languages of Programs","EuroPLoP '14","","978-1-4503-3416-7","Irsee, Germany","ACM","New York, NY, USA"
"article","3267428","Chong  Wang and Fan  Zhang and Peng  Liang and Maya  Daneva and Marten  van Sinderen","","","","Can App Changelogs Improve Requirements Classification from App Reviews?: An Exploratory Study","43:1--43:4","43","4","app changelogs, app reviews, data-driven requirements engineering, machine learning, requirements analysis","10.1145/3239235.3267428","","","","","","","2018","","Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement","ESEM '18","","978-1-4503-5823-1","Oulu, Finland","ACM","New York, NY, USA"
"article","2815032","Unnati S. Shah and Devesh C. Jinwala","","","","Resolving Ambiguities in Natural Language Software Requirements: A Comprehensive Survey","1--7","","7","Ambiguity, Natural Language Processing, Requirements Engineering","10.1145/2815021.2815032","SIGSOFT Softw. Eng. Notes","September 2015","40","5","","September","2015","0163-5948","","","","","","ACM","New York, NY, USA"
"article","3190689","Clinton  Woodson and Jane Huffman Hayes and Sarah  Griffioen","","","","Towards Reproducible Research: Automatic Classification of Empirical Requirements Engineering Papers","8:1--8:7","8","7","empirical research, information retrieval, machine learning, reproducible research, requirements engineering, statistical analysis, supervised classification learning, text classification","10.1145/3190645.3190689","","","","","","","2018","","Proceedings of the ACMSE 2018 Conference","ACMSE '18","","978-1-4503-5696-1","Richmond, Kentucky","ACM","New York, NY, USA"
"article","2855357","Azadeh  Alebrahim and Maritta  Heisel","","","","Applying Performance Patterns for Requirements Analysis","35:1--35:15","35","15","UML, performance patterns, problem frames, requirements engineering, software architecture","10.1145/2855321.2855357","","","","","","","2015","","Proceedings of the 20th European Conference on Pattern Languages of Programs","EuroPLoP '15","","978-1-4503-3847-9","Kaufbeuren, Germany","ACM","New York, NY, USA"
"article","3162234","Pankaj  Kamthan and Samia  Hilal","","","","On the Role of Paper in Agile and Active Requirements Engineering Education: (Abstract Only)","1080--1080","","1","artifact, handwriting, ideation, persona, reciprocal peer review, skill","10.1145/3159450.3162234","","","","","","","2018","","Proceedings of the 49th ACM Technical Symposium on Computer Science Education","SIGCSE '18","","978-1-4503-5103-4","Baltimore, Maryland, USA","ACM","New York, NY, USA"
"article","3298781","Viridiana  Silva-Rodr&#237;guez and Sandra E. Nava-Mu&#241;oz","","","","Identifying Human-Computer Interaction Patterns in Support of the User Interfaces Design","21:1--21:4","21","4","HCI Patterns, Human-Computer Interaction, Machine Learning, Software Requirement, User Interface Design","10.1145/3293578.3298781","","","","","","","2018","","Proceedings of the 7th Mexican Conference on Human-Computer Interaction","MexIHC '18","","978-1-4503-6653-3","Merida, Mexico","ACM","New York, NY, USA"
"article","2891050","Dalal  Alrajeh and Alessandra  Russo and Sebastian  Uchitel and Jeff  Kramer","","","","Logic-based Learning in Software Engineering","892--893","","2","","10.1145/2889160.2891050","","","","","","","2016","","Proceedings of the 38th International Conference on Software Engineering Companion","ICSE '16","","978-1-4503-4205-6","Austin, Texas","ACM","New York, NY, USA"
"article","3071258","Marcel  Wever and Lorijn  van Rooijen and Heiko  Hamann","","","","Active Coevolutionary Learning of Requirements Specifications from Examples","1327--1334","","8","co-evolution, interactive evolution, multi-objective optimization, software engineering","10.1145/3071178.3071258","","","","","","","2017","","Proceedings of the Genetic and Evolutionary Computation Conference","GECCO '17","","978-1-4503-4920-8","Berlin, Germany","ACM","New York, NY, USA"
"article","2695796","Fabiano B. Ruy and Ricardo A. Falbo and Monalessa P. Barcellos and Giancarlo  Guizzardi","","","","Towards an Ontology Pattern Language for Harmonizing Software Process Related ISO Standards","388--395","","8","ontology pattern language, ontology patterns, semantic interoperability, software process, standards harmonization","10.1145/2695664.2695796","","","","","","","2015","","Proceedings of the 30th Annual ACM Symposium on Applied Computing","SAC '15","","978-1-4503-3196-8","Salamanca, Spain","ACM","New York, NY, USA"
"article","2695928","Italo Carlo Lopes Silva and Patrick H. S. Brito and Baldoino F. dos S. Neto and Evandro  Costa and Andre Almeida Silva","","","","A Decision-making Tool to Support Architectural Designs Based on Quality Attributes","1457--1463","","7","architectural decision, recommender systems, software architecture","10.1145/2695664.2695928","","","","","","","2015","","Proceedings of the 30th Annual ACM Symposium on Applied Computing","SAC '15","","978-1-4503-3196-8","Salamanca, Spain","ACM","New York, NY, USA"
"article","3264836","Sayem Mohammad  Imtiaz and Tanmay  Bhowmik","","","","Towards Data-driven Vulnerability Prediction for Requirements","744--748","","5","Traceability, information retrieval, software requirements, software security, software vulnerability, vulnerability prediction","10.1145/3236024.3264836","","","","","","","2018","","Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering","ESEC/FSE 2018","","978-1-4503-5573-5","Lake Buena Vista, FL, USA","ACM","New York, NY, USA"
"proceeding","3340865","","","","","","","","","","","","","","","","","2019","","Proceedings of the Joint 4th International Workshop on Rapid Continuous Software Engineering and 1st International Workshop on Data-Driven Decisions, Experimentation and Evolution","","","","Montreal, Quebec, Canada","IEEE Press","Piscataway, NJ, USA"
